EffectRef,StudyRef,Latin,SpeciesRef,MeasureType_Category,SampleSize,R_value,Fishers_Z_r,Variance,No_of_years,Populationtype,GroupSize,StudyPopulation,Rank_Cont_Cat,RankDetermined,StudyRef,Latin,Reference
18,30,Lemur_catta,21,infant_production,60,0.24,0.2448,0.0175,13,Wild,5.3,Berenty_Madagascar,Continuous,Agonism,30,Lemur_catta,https://link.springer.com/article/10.1007/s10329-007-0076-8
19,1,Macaca_fuscata,1,infant_production,20,0.491,0.5374,0.0588,8,Captive,62,Laredo_USA,Categorical,Agonism,1,Macaca_fuscata,http://www.sciencedirect.com/science/article/pii/S0003347282802042
20,1,Macaca_fuscata,1,infant_production,34,0.28,0.2877,0.0323,8,Captive,62,Laredo_USA,Categorical,Agonism,1,Macaca_fuscata,http://www.sciencedirect.com/science/article/pii/S0003347282802042
21,32,Macaca_fuscata,1,infant_production,55,0.006264259,0.0063,0.0192,2,Provisioned,27.5,Arashiyama_Japan,Continuous,Agonism,32,Macaca_fuscata,https://link.springer.com/content/pdf/10.1007/BF02735737.pdf
22,35,Macaca_sylvanus,11,infant_production,12,0.14,0.1409,0.1111,6,Wild,9.8,Gibraltar_UK,Continuous,Agonism,35,Macaca_sylvanus,https://link.springer.com/content/pdf/10.1007/s10764-005-8851-0.pdf
23,35,Macaca_sylvanus,11,infant_production,12,-0.07,-0.0701,0.1111,6,Wild,9.8,Gibraltar_UK,Continuous,Agonism,35,Macaca_sylvanus,https://link.springer.com/content/pdf/10.1007/s10764-005-8851-0.pdf
24,23,Mesocricetus_auratus,18,infant_production,270,0.1438,0.1448,0.0038,1,Captive,2,Princeton_USA,Categorical,Agonism,23,Mesocricetus_auratus,https://reader.elsevier.com/reader/sd/pii/0031938488900315?token=1F6236A869EAAC24779D62F2548777DFCA759FDBAE5B490744467EDE56F870C6F317EA12973750FA3F074E70C7BDBE26
25,23,Mesocricetus_auratus,18,infant_production,50,0.6429,0.763,0.0263,1,Captive,2,Princeton_USA,Categorical,Agonism,23,Mesocricetus_auratus,https://reader.elsevier.com/reader/sd/pii/0031938488900315?token=1F6236A869EAAC24779D62F2548777DFCA759FDBAE5B490744467EDE56F870C6F317EA12973750FA3F074E70C7BDBE26
26,23,Mesocricetus_auratus,18,infant_production,50,0.6425,0.7624,0.0263,1,Captive,2,Princeton_USA,Categorical,Agonism,23,Mesocricetus_auratus,https://reader.elsevier.com/reader/sd/pii/0031938488900315?token=1F6236A869EAAC24779D62F2548777DFCA759FDBAE5B490744467EDE56F870C6F317EA12973750FA3F074E70C7BDBE26
27,2,Oreamnos_americanus,2,infant_production,93,0.23,0.2342,0.0111,4,Wild,41.5,CawRidge_Canada,Categorical,Agonism,2,Oreamnos_americanus,https://pdf.sciencedirectassets.com/272524/1-s2.0-S0003347200X0005X/1-s2.0-S0003347201917191/main.pdf?x-amz-security-token=AgoJb3JpZ2luX2VjECIaCXVzLWVhc3QtMSJHMEUCIDsUh2jRKJL1EeOiMrNglWa%2BljWFLis7tEu%2FF65JtK%2FrAiEA3Ge%2FEhYUyff41n0NLuT%2F6f3OMYi9qUIAiEdIdLe2I0wq2gMIKxACGgwwNTkwMDM1NDY4NjUiDAMkoPamXlYiEiMTAiq3A%2BeuAhsDxx5uxKVKSsH02Wr51a8W1QJh7LV0o7XK85dXyB8N47OKVWQf557unXr1i1NF4Tr3Korg%2Fd84K9OseOmeDRbEx%2FiMplod6dwVF6EOgFtdqhfWoqX4FI7b7CrPBLMeZaq8QmDrFsOF0lLO3oQJr%2B3Yu203yrI5JjR%2FpOP20azcvqQW8s6e30wDxqJU1Jul8vr%2BJw%2B5rf1F8ACnRWR1j0NZqDvmE5jWtm%2BY%2B%2BE7idE4hIFQnwjpH2DBPUR36DJ0%2FWIfVNcxO7GVDfLgcMoYPaHW75GKqfyKnWm7jIlkSTE5lmowokklYUCHE1gwTyYGs7tDZkNjynsARZXKBMR9MsxwBg%2FcdVDqjcn7seBP7V%2F3%2FQQsoEc2CwX9jsruOCD31fgfmmlhKzfBQaxSCimSESSoViMBF7CL0AJEmp5XUT2PUvatvIfe1WOH812FEs0HfMYtzoV7GBjOPR1eBB%2FlNAhF0JwragK8MZZTTgSYpiRlrxuN%2Bba13Z%2Bj1SC0oPwm7s%2BWIXCSJz96ossBMtfWhw2Erqrr6mzTYIYYs9l87ZxxJCMIZRZd%2BJMSC%2Bj1kEXLfjTaKk0wqf355gU6tAENF4zEXsU5AjcXnOYjnRQiE9LiyjmYEZassk3vYe2wXhbgok3JEnMyn94I55442kCjQuuHgXMpfaZGNYNUAdmkYaQRL7Jx%2BzO9AQR4A377oYRuiuxkEAjecjEzCuD7bBjbk7UoSYML9olg7L81FtBqk0WceDosPqrBAWcLuWMwXeUiazt32PMuY75ImgQdrNPZ3dr8eKpXodD%2FsOXF%2F5QhgsRvbDpf5y03v1BgbnDr80R7CRY%3D&AWSAccessKeyId=ASIAQ3PHCVTY47X2WJVK&Expires=1558089905&Signature=tVCYjA48gqKbg%2FvszNHfGWs72Fk%3D&hash=9e3256c2f52031d8723a7e95971032c601707dd3bcd1ad8ecdc37ed05604df5d&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0003347201917191&tid=spdf-9cb50cf8-e8fa-4c74-bb21-9c44d380d9a0&sid=a41a552f2589c0434a784ff8694551c0e035gxrqb&type=client
28,5,Oryctolagus_cuniculus,5,infant_production,197,0.150513689,0.1517,0.0052,14,Captive,36.3,Bayreuth_Germany,Continuous,Agonism,5,Oryctolagus_cuniculus,https://www.federaciongalegadecaza.com/biblioteca/coello/CIENTIFICAS_033.pdf
29,5,Oryctolagus_cuniculus,5,infant_production,197,0.132038796,0.1328,0.0052,14,Captive,36.3,Bayreuth_Germany,Continuous,Agonism,5,Oryctolagus_cuniculus,https://www.federaciongalegadecaza.com/biblioteca/coello/CIENTIFICAS_033.pdf
30,15,Papio_cynocephalus,14,infant_production,71,0.25,0.2554,0.0147,22,Wild,17.7,Mikumi_Tanzania,Continuous,Agonism,15,Papio_cynocephalus,https://link.springer.com/article/10.1007/s00265-004-0797-2
31,7,Semnopithecus_entellus,7,infant_production,13,0.198734937,0.2014,0.1,6,Wild,11.2,Jodhpur_India,Categorical,Agonism,7,Semnopithecus_entellus,https://link.springer.com/content/pdf/10.1007%2FBF02547586.pdf
32,13,Rangifer_tarandus,13,infant_production,49,-0.3176,-0.3289,0.0156,2,Captive,45,Kutuharju_Finland,Continuous,Agonism,13,Rangifer_tarandus,https://link.springer.com/article/10.1007/s00265-004-0827-0
33,24,Sciurus_vulgaris,19,infant_production,56,0.2712,0.2782,0.0188,3,Wild,15.5,Herenthout_Belgium,Categorical,Agonism,24,Sciurus_vulgaris,https://www.jstor.org/stable/pdf/4853.pdf?casa_token=XrCptukFnKAAAAAA:6QvfVd6Y43Bye7UPi-k-pnypiJJiYySJ4KHHNfdAr_080--2pm5jZD2YG6rmf2nzscFEtdO5HnglBAglmdVYZyF38L2FsOCRkDZAYzKAvwV_MA7djsI
34,24,Sciurus_vulgaris,19,infant_production,75,0.4989,0.5479,0.0161,3,Wild,15.5,Herenthout_Belgium,Categorical,Agonism,24,Sciurus_vulgaris,https://www.jstor.org/stable/pdf/4853.pdf?casa_token=XrCptukFnKAAAAAA:6QvfVd6Y43Bye7UPi-k-pnypiJJiYySJ4KHHNfdAr_080--2pm5jZD2YG6rmf2nzscFEtdO5HnglBAglmdVYZyF38L2FsOCRkDZAYzKAvwV_MA7djsI
35,3,Theropithecus_gelada,3,infant_production,8,0.667,0.8053,0.2,1,Wild,8,SimienMountains_Ethiopia,Continuous,Agonism,3,Theropithecus_gelada,https://www.nature.com/articles/266351a0.pdf
36,18,Papio_ursinus,16,infant_production,30,0.4764,0.5183,0.0266,10,Wild,22.5,Moremi_Botswana,Categorical,Agonism,18,Papio_ursinus,https://cpb-us-w2.wpmucdn.com/web.sas.upenn.edu/dist/0/236/files/2017/04/cheney_et_al_2006-xlf3a5.pdf
37,20,Papio_ursinus,16,infant_production,18,0.483597884,0.5277,0.0667,8,Wild,15,Moremi_Botswana,Categorical,Agonism,20,Papio_ursinus,https://link.springer.com/content/pdf/10.1007/BF02735781.pdf
38,20,Papio_ursinus,16,infant_production,18,0.064863121,0.065,0.0667,8,Wild,15,Moremi_Botswana,Categorical,Agonism,20,Papio_ursinus,https://link.springer.com/content/pdf/10.1007/BF02735781.pdf
39,11,Cervus_elaphus,10,infant_survival,105,0.322571102,0.3345,0.0098,11,Wild,5.32,Rhum_Scotland,Continuous,Agonism,11,Cervus_elaphus,https://www.nature.com/articles/308358a0.pdf
40,8,Crocuta_crocuta,8,infant_survival,21,0.634,0.7481,0.0556,7,Wild,22,MasaiMara_Kenya,Continuous,Agonism,8,Crocuta_crocuta,https://rep.bioscientifica.com/view/journals/rep/108/2/jrf_108_2_010.xml
41,28,Gorilla_beringei,22,infant_survival,103,0.0429,0.043,0.0097,37,Wild,7.2,Virunga_Ruanda,Continuous,Agonism,28,Gorilla_beringei,https://link.springer.com/article/10.1007/s00265-006-0321-y#Tab3
42,30,Lemur_catta,21,infant_survival,57,-0.04,-0.04,0.0185,13,Wild,5.3,Berenty_Madagascar,Continuous,Agonism,30,Lemur_catta,https://link.springer.com/article/10.1007/s10329-007-0076-8
43,4,Macaca_fascicularis,4,infant_survival,161,0.036514451,0.0365,0.0063,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
44,4,Macaca_fascicularis,4,infant_survival,161,0.353662124,0.3697,0.0063,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
45,4,Macaca_fascicularis,4,infant_survival,161,0.36206942,0.3793,0.0063,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
46,4,Macaca_fascicularis,4,infant_survival,108,0.005841751,0.0058,0.0095,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
47,4,Macaca_fascicularis,4,infant_survival,108,0.24540574,0.2505,0.0095,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
48,4,Macaca_fascicularis,4,infant_survival,109,0.156022181,0.1573,0.0094,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
49,4,Macaca_fascicularis,4,infant_survival,109,0.145724576,0.1467,0.0094,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
50,4,Macaca_fascicularis,4,infant_survival,109,0.047430441,0.0475,0.0094,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
51,4,Macaca_fascicularis,4,infant_survival,109,0.042599882,0.0426,0.0094,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
52,4,Macaca_fascicularis,4,infant_survival,76,0.090617621,0.0909,0.0137,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
53,4,Macaca_fascicularis,4,infant_survival,76,0.004666205,0.0047,0.0137,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
54,4,Macaca_fascicularis,4,infant_survival,76,0.263340692,0.2697,0.0137,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
55,4,Macaca_fascicularis,4,infant_survival,76,0.252821135,0.2584,0.0137,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
56,4,Macaca_fascicularis,4,infant_survival,169,0.283872066,0.2919,0.006,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
57,4,Macaca_fascicularis,4,infant_survival,169,0.250591656,0.2561,0.006,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
58,4,Macaca_fascicularis,4,infant_survival,169,0.109389936,0.1098,0.006,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
59,4,Macaca_fascicularis,4,infant_survival,169,0.125329359,0.126,0.006,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
60,4,Macaca_fascicularis,4,infant_survival,120,0.071775233,0.0719,0.0085,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
61,4,Macaca_fascicularis,4,infant_survival,120,0.075435577,0.0755,0.0085,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
62,4,Macaca_fascicularis,4,infant_survival,120,0.301698015,0.3114,0.0085,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
63,4,Macaca_fascicularis,4,infant_survival,120,0.286393345,0.2946,0.0085,12,Wild,7.3,Ketambe_Indonesia,Categorical,Agonism,4,Macaca_fascicularis,https://link.springer.com/content/pdf/10.1007%2FBF02557705.pdf
64,33,Macaca_fuscata,1,infant_survival,36,0.071485724,0.0711,0.0303,19,Wild,15.3,Yakushima_Japan,Categorical,Agonism,33,Macaca_fuscata,https://link.springer.com/content/pdf/10.1007/BF02573082.pdf
65,34,Macaca_mulatta,20,infant_survival,87,0.36,0.3769,0.0119,4,Captive,9.7,LaParguera_PuertoRico,Categorical,Agonism,34,Macaca_mulatta,https://link.springer.com/content/pdf/10.1007/BF00294974.pdf
66,2,Oreamnos_americanus,2,infant_survival,93,0,0,0.0111,4,Wild,41.5,CawRidge_Canada,Categorical,Agonism,2,Oreamnos_americanus,https://pdf.sciencedirectassets.com/272524/1-s2.0-S0003347200X0005X/1-s2.0-S0003347201917191/main.pdf?x-amz-security-token=AgoJb3JpZ2luX2VjECIaCXVzLWVhc3QtMSJHMEUCIDsUh2jRKJL1EeOiMrNglWa%2BljWFLis7tEu%2FF65JtK%2FrAiEA3Ge%2FEhYUyff41n0NLuT%2F6f3OMYi9qUIAiEdIdLe2I0wq2gMIKxACGgwwNTkwMDM1NDY4NjUiDAMkoPamXlYiEiMTAiq3A%2BeuAhsDxx5uxKVKSsH02Wr51a8W1QJh7LV0o7XK85dXyB8N47OKVWQf557unXr1i1NF4Tr3Korg%2Fd84K9OseOmeDRbEx%2FiMplod6dwVF6EOgFtdqhfWoqX4FI7b7CrPBLMeZaq8QmDrFsOF0lLO3oQJr%2B3Yu203yrI5JjR%2FpOP20azcvqQW8s6e30wDxqJU1Jul8vr%2BJw%2B5rf1F8ACnRWR1j0NZqDvmE5jWtm%2BY%2B%2BE7idE4hIFQnwjpH2DBPUR36DJ0%2FWIfVNcxO7GVDfLgcMoYPaHW75GKqfyKnWm7jIlkSTE5lmowokklYUCHE1gwTyYGs7tDZkNjynsARZXKBMR9MsxwBg%2FcdVDqjcn7seBP7V%2F3%2FQQsoEc2CwX9jsruOCD31fgfmmlhKzfBQaxSCimSESSoViMBF7CL0AJEmp5XUT2PUvatvIfe1WOH812FEs0HfMYtzoV7GBjOPR1eBB%2FlNAhF0JwragK8MZZTTgSYpiRlrxuN%2Bba13Z%2Bj1SC0oPwm7s%2BWIXCSJz96ossBMtfWhw2Erqrr6mzTYIYYs9l87ZxxJCMIZRZd%2BJMSC%2Bj1kEXLfjTaKk0wqf355gU6tAENF4zEXsU5AjcXnOYjnRQiE9LiyjmYEZassk3vYe2wXhbgok3JEnMyn94I55442kCjQuuHgXMpfaZGNYNUAdmkYaQRL7Jx%2BzO9AQR4A377oYRuiuxkEAjecjEzCuD7bBjbk7UoSYML9olg7L81FtBqk0WceDosPqrBAWcLuWMwXeUiazt32PMuY75ImgQdrNPZ3dr8eKpXodD%2FsOXF%2F5QhgsRvbDpf5y03v1BgbnDr80R7CRY%3D&AWSAccessKeyId=ASIAQ3PHCVTY47X2WJVK&Expires=1558089905&Signature=tVCYjA48gqKbg%2FvszNHfGWs72Fk%3D&hash=9e3256c2f52031d8723a7e95971032c601707dd3bcd1ad8ecdc37ed05604df5d&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0003347201917191&tid=spdf-9cb50cf8-e8fa-4c74-bb21-9c44d380d9a0&sid=a41a552f2589c0434a784ff8694551c0e035gxrqb&type=client
67,2,Oreamnos_americanus,2,infant_survival,93,0,0,0.0111,4,Wild,41.5,CawRidge_Canada,Categorical,Agonism,2,Oreamnos_americanus,https://pdf.sciencedirectassets.com/272524/1-s2.0-S0003347200X0005X/1-s2.0-S0003347201917191/main.pdf?x-amz-security-token=AgoJb3JpZ2luX2VjECIaCXVzLWVhc3QtMSJHMEUCIDsUh2jRKJL1EeOiMrNglWa%2BljWFLis7tEu%2FF65JtK%2FrAiEA3Ge%2FEhYUyff41n0NLuT%2F6f3OMYi9qUIAiEdIdLe2I0wq2gMIKxACGgwwNTkwMDM1NDY4NjUiDAMkoPamXlYiEiMTAiq3A%2BeuAhsDxx5uxKVKSsH02Wr51a8W1QJh7LV0o7XK85dXyB8N47OKVWQf557unXr1i1NF4Tr3Korg%2Fd84K9OseOmeDRbEx%2FiMplod6dwVF6EOgFtdqhfWoqX4FI7b7CrPBLMeZaq8QmDrFsOF0lLO3oQJr%2B3Yu203yrI5JjR%2FpOP20azcvqQW8s6e30wDxqJU1Jul8vr%2BJw%2B5rf1F8ACnRWR1j0NZqDvmE5jWtm%2BY%2B%2BE7idE4hIFQnwjpH2DBPUR36DJ0%2FWIfVNcxO7GVDfLgcMoYPaHW75GKqfyKnWm7jIlkSTE5lmowokklYUCHE1gwTyYGs7tDZkNjynsARZXKBMR9MsxwBg%2FcdVDqjcn7seBP7V%2F3%2FQQsoEc2CwX9jsruOCD31fgfmmlhKzfBQaxSCimSESSoViMBF7CL0AJEmp5XUT2PUvatvIfe1WOH812FEs0HfMYtzoV7GBjOPR1eBB%2FlNAhF0JwragK8MZZTTgSYpiRlrxuN%2Bba13Z%2Bj1SC0oPwm7s%2BWIXCSJz96ossBMtfWhw2Erqrr6mzTYIYYs9l87ZxxJCMIZRZd%2BJMSC%2Bj1kEXLfjTaKk0wqf355gU6tAENF4zEXsU5AjcXnOYjnRQiE9LiyjmYEZassk3vYe2wXhbgok3JEnMyn94I55442kCjQuuHgXMpfaZGNYNUAdmkYaQRL7Jx%2BzO9AQR4A377oYRuiuxkEAjecjEzCuD7bBjbk7UoSYML9olg7L81FtBqk0WceDosPqrBAWcLuWMwXeUiazt32PMuY75ImgQdrNPZ3dr8eKpXodD%2FsOXF%2F5QhgsRvbDpf5y03v1BgbnDr80R7CRY%3D&AWSAccessKeyId=ASIAQ3PHCVTY47X2WJVK&Expires=1558089905&Signature=tVCYjA48gqKbg%2FvszNHfGWs72Fk%3D&hash=9e3256c2f52031d8723a7e95971032c601707dd3bcd1ad8ecdc37ed05604df5d&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=S0003347201917191&tid=spdf-9cb50cf8-e8fa-4c74-bb21-9c44d380d9a0&sid=a41a552f2589c0434a784ff8694551c0e035gxrqb&type=client
68,5,Oryctolagus_cuniculus,5,infant_survival,197,0.105146983,0.1055,0.0052,14,Captive,36.3,Bayreuth_Germany,Continuous,Agonism,5,Oryctolagus_cuniculus,https://www.federaciongalegadecaza.com/biblioteca/coello/CIENTIFICAS_033.pdf
69,12,Pan_troglodytes,12,infant_survival,14,0.141,0.1419,0.0909,22,Wild,14,Gombe_Tanzania,Categorical,Agonism,12,Pan_troglodytes,https://www.researchgate.net/publication/13976516_The_Influence_of_Dominance_Rank_on_the_Reproductive_Success_of_Female_Chimpanzees
70,22,Papio_anubis,15,infant_survival,99,0.3125,0.3233,0.0104,25,Wild,14.4,GombeBaboons_Tanzania,Continuous,Agonism,22,Papio_anubis,https://www.nature.com/articles/373060a0.pdf
71,22,Papio_anubis,15,infant_survival,383,0.301511345,0.3112,0.0026,25,Wild,14.4,GombeBaboons_Tanzania,Continuous,Agonism,22,Papio_anubis,https://www.nature.com/articles/373060a0.pdf
72,22,Papio_anubis,15,infant_survival,298,0.1775,0.1794,0.0034,25,Wild,14.4,GombeBaboons_Tanzania,Continuous,Agonism,22,Papio_anubis,https://www.nature.com/articles/373060a0.pdf
73,22,Papio_anubis,15,infant_survival,70,0.1452,0.1462,0.0149,25,Wild,14.4,GombeBaboons_Tanzania,Continuous,Agonism,22,Papio_anubis,https://www.nature.com/articles/373060a0.pdf
74,22,Papio_anubis,15,infant_survival,245,0.109108945,0.1095,0.0041,25,Wild,14.4,GombeBaboons_Tanzania,Continuous,Agonism,22,Papio_anubis,https://www.nature.com/articles/373060a0.pdf
75,15,Papio_cynocephalus,14,infant_survival,66,0.26,0.2661,0.0159,22,Wild,17.7,Mikumi_Tanzania,Continuous,Agonism,15,Papio_cynocephalus,https://link.springer.com/article/10.1007/s00265-004-0797-2
76,9,Papio_cynocephalus,14,infant_survival,108,0.20436389,0.2073,0.0095,15,Wild,14.1,Amboseli_Kenya,Continuous,Agonism,9,Papio_cynocephalus,https://science.sciencemag.org/content/sci/302/5648/1231.full.pdf
77,9,Papio_cynocephalus,14,infant_survival,106,0.10724182,0.1076,0.0097,15,Wild,14.1,Amboseli_Kenya,Continuous,Agonism,9,Papio_cynocephalus,https://science.sciencemag.org/content/sci/302/5648/1231.full.pdf
78,7,Semnopithecus_entellus,7,infant_survival,13,0.261378239,0.2676,0.1,6,Wild,11.2,Jodhpur_India,Categorical,Agonism,7,Semnopithecus_entellus,https://link.springer.com/content/pdf/10.1007%2FBF02547586.pdf
79,7,Semnopithecus_entellus,7,infant_survival,13,0.195773935,0.1984,0.1,6,Wild,11.2,Jodhpur_India,Categorical,Agonism,7,Semnopithecus_entellus,https://link.springer.com/content/pdf/10.1007%2FBF02547586.pdf
80,19,Crocuta_crocuta,8,infant_survival,674,0.432,0.4624,0.0015,13,Wild,26.3,Ngorongoro_Tanzania,Continuous,Agonism,19,Crocuta_crocuta,https://link.springer.com/content/pdf/10.1023%2FA%3A1027352517231.pdf
81,18,Papio_ursinus,16,infant_survival,34,0.3766,0.3961,0.0251,10,Wild,22.5,Moremi_Botswana,Categorical,Agonism,18,Papio_ursinus,https://cpb-us-w2.wpmucdn.com/web.sas.upenn.edu/dist/0/236/files/2017/04/cheney_et_al_2006-xlf3a5.pdf
