,EffectRef,StudyRef,Latin,SpeciesRef,MeasureType_Category,SampleSize,R_value,Fishers_Z_r,Variance,No_of_years,Populationtype,GroupSize,StudyPopulation,Rank_Cont_Cat,RankDetermined,LitterSize,LittersPerYear,CooperativeBreeding,PluralBreeding,AssociatedBreeding,DominanceSystem,Philopatry,DietCategory,EnvironmentalHarshness,PopulationDensity,AverageRelatedness,CoalitionFormation,maleinfanticide,sexratio_socialgroup,SexualDimorphism_Weight,BreedingSystem,SpeciesIncluded,MaximumLifespan,Reference_DominanceSucccess,Reference_DominanceSucccess_doi,Reference_DominanceSystem,Reference_DominanceSystem_doi,Reference_Relatedness,Reference_Relatedness_doi
12,12,13,Rangifer_tarandus,13,age_at_first_conception,49,0.2865,0.2947,0.0217,3,Captive,45,Kutuharju_Finland,Continuous,Agonism,1.1,0.9,0,0,1,Age,FemalePhilopatry,Herbivore,NA,2.5,0.06,No,NA,0.142857143,1.993715533,3,Rangifer_tarandus,2.400019635,https://link.springer.com/article/10.1007/s00265-004-0827-0,10.1007/s00265-004-0827-0,https://zslpublications.onlinelibrary.wiley.com/doi/pdf/10.1017/S0952836904005382,10.1017/S0952836904005382,https://link.springer.com/content/pdf/10.1007/s10211-011-0121-x.pdf,10.1007/s10211-011-0121-x
13,13,6,Callithrix_jacchus,6,infant_production,6,0.3739,0.3929,0.3333,3,Wild,2,Flona_Brazil,Categorical,Other,2.1,2,1,0,0,Age,FemaleDispersal,Omnivore,-0.2987574,508.2,0.38,No,0,0.333333333,0.947677107,1,Callithrix_jacchus,2.23299611,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.20168,10.1002/ajp.20168,https://www.researchgate.net/profile/Leslie_Digby/publication/225983576_Social_organization_in_a_wild_population_of_Callithrix_jacchus_II_Intragroup_social_behavior/links/56ba240108ae3af6847d63dd/Social-organization-in-a-wild-population-of-Callithrix-jacchus-II-Intragroup-social-behavior.pdf,10.1007/BF02382859,https://www.researchgate.net/profile/Caroline_Nievergelt/publication/227229869_Genetic_Analysis_of_Group_Composition_and_Breeding_System_in_a_Wild_Common_Marmoset_Callithrix_jacchus_Population/links/00b4951c8d61b8a32c000000.pdf,NA
14,14,29,Chlorocebus_aethiops,23,infant_production,71,0.31,0.3205,0.0147,8,Captive,9,Sepulveda_USA,Continuous,Agonism,1,1,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.51190589,NA,0.02,Yes,1,0.37398374,1.43046562,2,Chlorocebus_aethiops,2.569139726,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.1350070106,10.1002/ajp.1350070106,https://watermark.silverchair.com/31-2-306.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAp0wggKZBgkqhkiG9w0BBwagggKKMIIChgIBADCCAn8GCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM8eY6N0_92rdrjkSWAgEQgIICUIo6DcbOozuZBYmEvxdaBUmpZDn0cNk1ID_vLopUXrdZjlrJ2UnNoY-SClDYtUnIQJUJXz0v4C0nLwBuUZn7pPqHrc_JOCeJ47OwXzbIm-wLHX6Lh6dDDoIeGT_V2O5dt6VCHvZMb8TB7v1U_Fj5PxT0TZOYskcmNgImToXJnMGYfcsfxqIUI0jGJ36YyFfc9PX3fLhS7M8SoSDPJbWIHkFdwwx2wlWf50L4LxREpJhWmswzDiRQ4TSeoWxWRu8BBaPKaK6LWUpdkmJm6Na_itSzTQ2o7_Ean4wz70zjSDYWdlZBQ_13LOZ-gjzPOLJFRCF6u0ziVUnQ4T06VtVHCuskUgAcNp_JOPb71lewNI5zETji1_dOtfjtg_00S87RB-nqJwPFLAdid1kanpxrSegJGpz--dqIId6tE575dvzyauM8JQfbKlzc3Md-EExp8z8TyzhBw5L2VdWyfAeMxFwqPV9hn3GSpXmY5wq04D--vupxF4BPot3hNZ44wI0oUPSz44WEy1_sg8IoMjn3k_R218jEnZvLdc5lEjbfWa9noK9wF8HL1cUu9D1yB8D6jKCaxL6u2ib6pHZ3fHlxFVJo49Y1EWAjUTBX3TssQ_b0e-bXIxi75v5XaN-IreK1ndgcb_OJz9rziqSkrTWdFBpS_-hnXyF4k7JNnxr5E9as3x1pNhdCuDbJs8Xo_TEuycVrVD_Bt1mEusRZG3QbbJ9IlkIw8R8bszI_Zm5w0MNpPqwDEVUaBcORBtlIbCcfwNvzJcqkE0EByDSb1y53ZEU,10.1093/icb/31.2.306,https://www.st-va.ncbi.nlm.nih.gov/pmc/articles/PMC3125414/,10.1016/j.psyneuen.2011.02.013
15,15,29,Chlorocebus_aethiops,23,infant_production,71,0.25,0.2554,0.0147,8,Captive,9,Sepulveda_USA,Continuous,Agonism,1,1,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.51190589,NA,0.02,Yes,1,0.37398374,1.43046562,2,Chlorocebus_aethiops,2.569139726,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ajp.1350070106,10.1002/ajp.1350070106,https://watermark.silverchair.com/31-2-306.pdf?token=AQECAHi208BE49Ooan9kkhW_Ercy7Dm3ZL_9Cf3qfKAc485ysgAAAp0wggKZBgkqhkiG9w0BBwagggKKMIIChgIBADCCAn8GCSqGSIb3DQEHATAeBglghkgBZQMEAS4wEQQM8eY6N0_92rdrjkSWAgEQgIICUIo6DcbOozuZBYmEvxdaBUmpZDn0cNk1ID_vLopUXrdZjlrJ2UnNoY-SClDYtUnIQJUJXz0v4C0nLwBuUZn7pPqHrc_JOCeJ47OwXzbIm-wLHX6Lh6dDDoIeGT_V2O5dt6VCHvZMb8TB7v1U_Fj5PxT0TZOYskcmNgImToXJnMGYfcsfxqIUI0jGJ36YyFfc9PX3fLhS7M8SoSDPJbWIHkFdwwx2wlWf50L4LxREpJhWmswzDiRQ4TSeoWxWRu8BBaPKaK6LWUpdkmJm6Na_itSzTQ2o7_Ean4wz70zjSDYWdlZBQ_13LOZ-gjzPOLJFRCF6u0ziVUnQ4T06VtVHCuskUgAcNp_JOPb71lewNI5zETji1_dOtfjtg_00S87RB-nqJwPFLAdid1kanpxrSegJGpz--dqIId6tE575dvzyauM8JQfbKlzc3Md-EExp8z8TyzhBw5L2VdWyfAeMxFwqPV9hn3GSpXmY5wq04D--vupxF4BPot3hNZ44wI0oUPSz44WEy1_sg8IoMjn3k_R218jEnZvLdc5lEjbfWa9noK9wF8HL1cUu9D1yB8D6jKCaxL6u2ib6pHZ3fHlxFVJo49Y1EWAjUTBX3TssQ_b0e-bXIxi75v5XaN-IreK1ndgcb_OJz9rziqSkrTWdFBpS_-hnXyF4k7JNnxr5E9as3x1pNhdCuDbJs8Xo_TEuycVrVD_Bt1mEusRZG3QbbJ9IlkIw8R8bszI_Zm5w0MNpPqwDEVUaBcORBtlIbCcfwNvzJcqkE0EByDSb1y53ZEU,10.1093/icb/31.2.306,https://www.st-va.ncbi.nlm.nih.gov/pmc/articles/PMC3125414/,10.1016/j.psyneuen.2011.02.013
16,16,8,Crocuta_crocuta,8,infant_production,106,0.016981706,0.017,0.0097,7,Wild,22,MasaiMara_Kenya,Continuous,Agonism,1.4,1,0,1,0,Nepotism,FemalePhilopatry,Carnivore,0.07915992,0.1,0.1,Yes,0,0.504424779,0.74139999,2,Crocuta_crocuta,2.692935003,https://rep.bioscientifica.com/view/journals/rep/108/2/jrf_108_2_010.xml,10.1530/jrf.0.1080229,https://link.springer.com/article/10.1023%2FA%3A1027352517231,10.1023/A:1027352517231,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-294X.2003.02071.x,10.1046/j.1365-294X.2003.02071.x
17,17,8,Crocuta_crocuta,8,infant_production,37,0.592,0.6807,0.0294,7,Wild,22,MasaiMara_Kenya,Continuous,Agonism,1.4,1,0,1,0,Nepotism,FemalePhilopatry,Carnivore,0.07915992,0.1,0.1,Yes,0,0.504424779,0.74139999,2,Crocuta_crocuta,2.692935003,https://rep.bioscientifica.com/view/journals/rep/108/2/jrf_108_2_010.xml,10.1530/jrf.0.1080229,https://link.springer.com/article/10.1023%2FA%3A1027352517231,10.1023/A:1027352517231,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-294X.2003.02071.x,10.1046/j.1365-294X.2003.02071.x
18,18,30,Lemur_catta,21,infant_production,60,0.24,0.2448,0.0175,13,Wild,5.3,Berenty_Madagascar,Continuous,Agonism,1.1,0.9,0,1,0,Nepotism,FemalePhilopatry,Frugivore,-0.050671,215,0.07,No,1,0.479674797,1,2,Lemur_catta,2.625106575,https://link.springer.com/article/10.1007/s10329-007-0076-8,10.1007/s10329-007-0076-8,https://d1wqtxts1xzle7.cloudfront.net/50421113/bf0269229120161119-30240-ybcrly.pdf?1479581134=&response-content-disposition=inline%3B+filename%3DA_preliminary_study_of_kinship_and_socia.pdf&Expires=1600682351&Signature=Ro5bxSIRb2iY16xO6wPMptrixUyW6yDjNnVX2XWyTRTWWamjBYDcPaUeLEtBZVCkxaUrZSIwJkFxbCkIzb7IU3ko0CRpzpZznSDBRCtd-QwwnfCfhJ3eTc1sBkOHhfMmapV3a7c0a8OmEtCoN2B1pWF7GY~iWiyMrHbTtDlAYgeVSKcO1Fj4DYk6YzfQXa1PHg6A1McDYSou0Mfgfp5pOTJJelxKO6vJjhH25wqoeVvxPBU~uGWsowUVrcR-Cc3rqIfluDGDEzqhX15yRXOIZmXw41T6i3DnB7vUEmkKRPZONhW3dEH5p7chcDviZvEi9TJvS9AQWExZQYPRLJEyjw__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,10.1007/BF02692291,https://www.karger.com/Article/FullText/369386,10.1159/000369386
19,19,1,Macaca_fuscata,1,infant_production,20,0.491,0.5374,0.0588,8,Captive,62,Laredo_USA,Categorical,Agonism,1.4,0.5,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.64983156,30.2,0.03,Yes,1,0.304347826,1.370259311,2,Macaca_fuscata,2.36361198,http://www.sciencedirect.com/science/article/pii/S0003347282802042,10.1016/S0003-3472(82)80204-2,https://link.springer.com/article/10.1023/A:1024676705433,NA,https://link.springer.com/article/10.1007/BF01541200,10.1007/BF01541200
20,20,1,Macaca_fuscata,1,infant_production,34,0.28,0.2877,0.0323,8,Captive,62,Laredo_USA,Categorical,Agonism,1.4,0.5,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.64983156,30.2,0.03,Yes,1,0.304347826,1.370259311,2,Macaca_fuscata,2.36361198,http://www.sciencedirect.com/science/article/pii/S0003347282802042,10.1016/S0003-3472(82)80204-2,https://link.springer.com/article/10.1023/A:1024676705433,NA,https://link.springer.com/article/10.1007/BF01541200,10.1007/BF01541200
21,21,32,Macaca_fuscata,1,infant_production,55,0.006264259,0.0063,0.0192,2,Provisioned,27.5,Arashiyama_Japan,Continuous,Agonism,1.4,0.5,0,1,0,Nepotism,FemalePhilopatry,Omnivore,0.64983156,30.2,0.03,Yes,1,0.304347826,1.370259311,2,Macaca_fuscata,2.36361198,https://link.springer.com/content/pdf/10.1007/BF02735737.pdf,10.1007/BF02735737,https://link.springer.com/article/10.1023/A:1024676705433,NA,https://www.researchgate.net/profile/Nicola_Koyama/publication/226746348_Matrilineal_Cohesion_and_Social_Networks_in_Macaca_fuscata/links/0c96052aad42a63391000000.pdf,NA
22,22,35,Macaca_sylvanus,11,infant_production,12,0.14,0.1409,0.1111,6,Wild,9.8,Gibraltar_UK,Continuous,Agonism,1.5,0.6,0,1,0,Nepotism,FemalePhilopatry,Frugivore,1.38443022,12.5,0.07,No,1,0.426229508,1.12,2,Macaca_sylvanus,2.313192064,https://link.springer.com/content/pdf/10.1007/s10764-005-8851-0.pdf,10.1007/s10764-005-8851-0,https://link.springer.com/article/10.1007%2FBF00299970,10.1007/BF00299970,"Kümmerli, R., & Martin, R. D. (2008). Patterns of infant handling and relatedness in Barbary macaques (Macaca sylvanus) on Gibraltar. Primates, 49(4), 271.",10.1007/s10329-008-0100-7
23,23,35,Macaca_sylvanus,11,infant_production,12,-0.07,-0.0701,0.1111,6,Wild,9.8,Gibraltar_UK,Continuous,Agonism,1.5,0.6,0,1,0,Nepotism,FemalePhilopatry,Frugivore,1.38443022,12.5,0.07,No,1,0.426229508,1.12,2,Macaca_sylvanus,2.313192064,https://link.springer.com/content/pdf/10.1007/s10764-005-8851-0.pdf,10.1007/s10764-005-8851-0,https://link.springer.com/article/10.1007%2FBF00299970,10.1007/BF00299970,"Kümmerli, R., & Martin, R. D. (2008). Patterns of infant handling and relatedness in Barbary macaques (Macaca sylvanus) on Gibraltar. Primates, 49(4), 271.",10.1007/s10329-008-0100-7
24,24,23,Mesocricetus_auratus,18,infant_production,270,0.1438,0.1448,0.0038,1,Captive,2,Princeton_USA,Categorical,Agonism,8.8,3.8,0,1,0,Condition,NA,Omnivore,NA,NA,0,No,0,NA,NA,2,Mesocricetus_auratus,1.617000341,https://reader.elsevier.com/reader/sd/pii/0031938488900315?token=1F6236A869EAAC24779D62F2548777DFCA759FDBAE5B490744467EDE56F870C6F317EA12973750FA3F074E70C7BDBE26,10.1016/0031-9384(88)90031-5,https://www.sciencedirect.com/science/article/abs/pii/0031938488900315,10.1016/0031-9384(88)90031-5,https://reader.elsevier.com/reader/sd/pii/0031938488900315?token=1F6236A869EAAC24779D62F2548777DFCA759FDBAE5B490744467EDE56F870C6F317EA12973750FA3F074E70C7BDBE26,10.1016/0031-9384(88)90031-5
25,25,23,Mesocricetus_auratus,18,infant_production,50,0.6429,0.763,0.0263,1,Captive,2,Princeton_USA,Categorical,Agonism,8.8,3.8,0,1,0,Condition,NA,Omnivore,NA,NA,0,No,0,NA,NA,2,Mesocricetus_auratus,1.617000341,https://reader.elsevier.com/reader/sd/pii/0031938488900315?token=1F6236A869EAAC24779D62F2548777DFCA759FDBAE5B490744467EDE56F870C6F317EA12973750FA3F074E70C7BDBE26,10.1016/0031-9384(88)90031-5,https://www.sciencedirect.com/science/article/abs/pii/0031938488900315,10.1016/0031-9384(88)90031-5,https://reader.elsevier.com/reader/sd/pii/0031938488900315?token=1F6236A869EAAC24779D62F2548777DFCA759FDBAE5B490744467EDE56F870C6F317EA12973750FA3F074E70C7BDBE26,10.1016/0031-9384(88)90031-5
26,26,23,Mesocricetus_auratus,18,infant_production,50,0.6425,0.7624,0.0263,1,Captive,2,Princeton_USA,Categorical,Agonism,8.8,3.8,0,1,0,Condition,NA,Omnivore,NA,NA,0,No,0,NA,NA,2,Mesocricetus_auratus,1.617000341,https://reader.elsevier.com/reader/sd/pii/0031938488900315?token=1F6236A869EAAC24779D62F2548777DFCA759FDBAE5B490744467EDE56F870C6F317EA12973750FA3F074E70C7BDBE26,10.1016/0031-9384(88)90031-5,https://www.sciencedirect.com/science/article/abs/pii/0031938488900315,10.1016/0031-9384(88)90031-5,https://reader.elsevier.com/reader/sd/pii/0031938488900315?token=1F6236A869EAAC24779D62F2548777DFCA759FDBAE5B490744467EDE56F870C6F317EA12973750FA3F074E70C7BDBE26,10.1016/0031-9384(88)90031-5
27,27,2,Oreamnos_americanus,2,infant_production,93,0.23,0.2342,0.0111,4,Wild,41.5,CawRidge_Canada,Categorical,Agonism,1,1,0,0,1,Age,FemalePhilopatry,Herbivore,1.74892352,NA,0.01,No,NA,NA,1.301886792,3,Oreamnos_americanus,2.367188135,https://www.sciencedirect.com/science/article/abs/pii/S0003347201917191,10.1006/anbe.2001.1719,https://www.researchgate.net/publication/229196608_Dominance_hierarchies_in_female_mountain_goats_Stability_aggressiveness_and_determinants_of_rank_by,10.1163/156853900502718,"Shafer, A., Northrup, J. M., White, K. S., Boyce, M. S., Côté, S. D., & Coltman, D. W. (2012). Habitat selection predicts genetic relatedness in an alpine ungulate. Ecology, 93(6), 1317-1329.",10.1890/11-0815.1
28,28,5,Oryctolagus_cuniculus,5,infant_production,197,0.150513689,0.1517,0.0052,14,Captive,36.3,Bayreuth_Germany,Continuous,Agonism,5,4.6,0,1,0,Age,FemalePhilopatry,Herbivore,NA,357.9,0.24,No,NA,NA,NA,2,Oryctolagus_cuniculus,2.22934902,https://www.federaciongalegadecaza.com/biblioteca/coello/CIENTIFICAS_033.pdf,10.1007/s00265-001-0427-1,https://www.federaciongalegadecaza.com/biblioteca/coello/CIENTIFICAS_033.pdf,10.1007/s00265-001-0427-1,"Surridge, A. K., Ibrahim, K. M., Bell, D. J., Webb, N. J., Rico, C., & Hewitt, G. M. (1999). Fine‐scale genetic structuring in a natural population of European wild rabbits (Oryctolagus cuniculus). Molecular Ecology, 8(2), 299-307.",10.1046/j.1365-294X.1999.00570.x
29,29,5,Oryctolagus_cuniculus,5,infant_production,197,0.132038796,0.1328,0.0052,14,Captive,36.3,Bayreuth_Germany,Continuous,Agonism,5,4.6,0,1,0,Age,FemalePhilopatry,Herbivore,NA,357.9,0.24,No,NA,NA,NA,2,Oryctolagus_cuniculus,2.22934902,https://www.federaciongalegadecaza.com/biblioteca/coello/CIENTIFICAS_033.pdf,10.1007/s00265-001-0427-1,https://www.federaciongalegadecaza.com/biblioteca/coello/CIENTIFICAS_033.pdf,10.1007/s00265-001-0427-1,"Surridge, A. K., Ibrahim, K. M., Bell, D. J., Webb, N. J., Rico, C., & Hewitt, G. M. (1999). Fine‐scale genetic structuring in a natural population of European wild rabbits (Oryctolagus cuniculus). Molecular Ecology, 8(2), 299-307.",10.1046/j.1365-294X.1999.00570.x
30,30,15,Papio_cynocephalus,14,infant_production,71,0.25,0.2554,0.0147,22,Wild,17.7,Mikumi_Tanzania,Continuous,Agonism,1,0.6,0,1,0,Nepotism,FemalePhilopatry,Omnivore,NA,5.9,0.04,Yes,1,0.25,2.06,2,Papio_cynocephalus,1.653212514,https://link.springer.com/article/10.1007/s00265-004-0797-2,10.1007/s00265-004-0797-2,https://www.nature.com/articles/373060a0.pdf,10.1038/373060a0,https://sci-hub.st/10.1002/ajp.1350160202,10.1002/ajp.1350160202
31,31,7,Semnopithecus_entellus,7,infant_production,13,0.198734937,0.2014,0.1,6,Wild,11.2,Jodhpur_India,Categorical,Agonism,1.1,0.7,0,1,0,Age,FemalePhilopatry,Herbivore,NA,17.3,NA,Yes,1,0.172661871,1.313900245,2,Semnopithecus_entellus,2.51054501,https://link.springer.com/content/pdf/10.1007%2FBF02547586.pdf,10.1007/BF02547586,https://link.springer.com/content/pdf/10.1007%2FBF02547586.pdf,10.1007/BF02547586,NA,NA
32,32,13,Rangifer_tarandus,13,infant_production,49,-0.3176,-0.3289,0.0156,2,Captive,45,Kutuharju_Finland,Continuous,Agonism,1.1,0.9,0,0,1,Age,FemalePhilopatry,Herbivore,NA,2.5,0.06,No,NA,0.142857143,1.993715533,3,Rangifer_tarandus,2.400019635,https://link.springer.com/article/10.1007/s00265-004-0827-0,10.1007/s00265-004-0827-0,https://zslpublications.onlinelibrary.wiley.com/doi/pdf/10.1017/S0952836904005382,10.1017/S0952836904005382,https://link.springer.com/content/pdf/10.1007/s10211-011-0121-x.pdf,10.1007/s10211-011-0121-x
